"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"21 Invest","Treviso","+39 0422 316611","info@21invest.com","mailto:info@21invest.com","http://www.21invest.com","http://www.21invest.com/","Alessandro Benetton","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"8a+ Investimenti SGR","Varese","0332 251411","info@ottoapiu.it","mailto:info@ottoapiu.it","http://www.ottoapiu.it","http://www.ottoapiu.it/","Andrea Pastorelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"Advent International","Milano","+39 02 8294 6460","fcasiraghi@adventinternational.it","mailto:fcasiraghi@adventinternational.it","http://www.adventinternational.com","http://www.adventinternational.com/","Francesco Casiraghi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"AKSÌA SGR","Milano","+39 / 02 8904631","info@aksiasgr.com","mailto:info@aksiasgr.com","http://www.aksiasgr.com","http://www.aksiasgr.com/","Nicola Emanuele, Marco Rayneri","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"Alcedo SGR","Treviso","+39 / 0422 559111","maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","mailto:maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","http://www.alcedo.it","http://www.alcedo.it/","Maurizio Tiveron, Maria Giovanna Morando","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Aliante Lux","Lussemburgo","+41791557766","info@aliantelux.eu","mailto:info@aliantelux.eu","https://aliantegroup.eu","https://aliantegroup.eu/","Paolo Righetto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"Alkemia SGR","Milano","+ 39 02 35941052","info@alkemiacapital.com","mailto:info@alkemiacapital.com","http://www.alkemiacapital.com","http://www.alkemiacapital.com/","Luca Maurizio Duranti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"Alpha Associati","Milano","+39 / 02 0064001","alphagroup@gruppoalpha.it","mailto:alphagroup@gruppoalpha.it","http://www.alphape.com","http://www.alphape.com/","Paolo Magni, Pasquale Cavaliere","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"Alto Partners SGR","Milano","+39 / 02 72095041","segreteria@altopartners.it","mailto:segreteria@altopartners.it","http://www.altopartners.it","http://www.altopartners.it/","Stefano Scarpis, Raffaele de Courten, Gianmarco Gandolfi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"Amber Capital Italia SGR","Milano","+39 / 02 00688060","maria.scozzafava@ambercapital.com","mailto:maria.scozzafava@ambercapital.com","http://www.ambercapital.com","http://www.ambercapital.com/","Maria Scozzafava","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
