"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"21 Invest","Treviso","+39 0422 316611","info@21invest.com","mailto:info@21invest.com","http://www.21invest.com","http://www.21invest.com/","Alessandro Benetton","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"Abenex","Milano","-","antonio.catalli@abenex.com","mailto:antonio.catalli@abenex.com","https://www.abenex.com/it/","https://www.abenex.com/it/","Antonio Catalli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"AKSÌA SGR","Milano","+39 / 02 8904631","info@aksiasgr.com","mailto:info@aksiasgr.com","http://www.aksiasgr.com","http://www.aksiasgr.com/","Nicola Emanuele, Marco Rayneri","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"Alcedo SGR","Treviso","+39 / 0422 559111","maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","mailto:maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","http://www.alcedo.it","http://www.alcedo.it/","Maurizio Tiveron, Maria Giovanna Morando","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"Alpha Associati","Milano","+39 / 02 0064001","alphagroup@gruppoalpha.it","mailto:alphagroup@gruppoalpha.it","http://www.alphape.com","http://www.alphape.com/","Paolo Magni, Pasquale Cavaliere","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Alto Partners SGR","Milano","+39 / 02 72095041","segreteria@altopartners.it","mailto:segreteria@altopartners.it","http://www.altopartners.it","http://www.altopartners.it/","Stefano Scarpis, Raffaele de Courten, Gianmarco Gandolfi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"Ambienta SGR","Milano","+39 02 7217 461","info@ambientasgr.com","mailto:info@ambientasgr.com","http://www.ambientasgr.com","http://www.ambientasgr.com/","Adele Bertolino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"Andera Partners","Milano","+33763948816","f.gonzaga@anderapartners.com","mailto:f.gonzaga@anderapartners.com","http://www.anderapartners.com","http://www.anderapartners.com/","Francesco Gonzaga","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"Antares Advisory Srl","Milano","+39 / 02 36579500","info@antaresinvestimenti.it","mailto:info@antaresinvestimenti.it","-","","Stefano Romiti, Guido Vesin, Alessandro Di Michele","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"Apax Partners","London","+44 020 7872 6300","gabriele.cipparrone@apax.com","mailto:gabriele.cipparrone@apax.com","http://www.apax.com","http://www.apax.com/","Gabriele Cipparrone","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
"Apeiron Management","Milano","+39 / 02 82878800","info@apeironmgmt.com","mailto:info@apeironmgmt.com","http://www.apeironmgmt.com","http://www.apeironmgmt.com/","Roberto Maiello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')"
"ARDIAN Italy","Milano","+39 / 02 58442401","milano.pe@ardian.com","mailto:milano.pe@ardian.com","http://www.ardian.com","http://www.ardian.com/","Nicolò Saidelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl11$lnkDettaglio','')"
"Argos Wityu Italia","Milano","+39 / 02 00660700","jpdb@argos.fund, am@argos.fund","mailto:jpdb@argos.fund, am@argos.fund","http://www.argos.wityu.fund","http://www.argos.wityu.fund/","Jean-Pierre Di Benedetto, Alessio Manigrasso","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl12$lnkDettaglio','')"
"Aurora Growth Capital","Luxembourg","+39 / 02 814 80 801","IR_Auroragrowthcapital@rpalt.com","mailto:IR_Auroragrowthcapital@rpalt.com","http://www.auroragrowthcapital.it","http://www.auroragrowthcapital.it/","Patrizia Micucci, Piero Migliorini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl13$lnkDettaglio','')"
"BC Partners","London","+44 / 20 70094800","london@bcpartners.com","mailto:london@bcpartners.com","http://www.bcpartners.com","http://www.bcpartners.com/","Stefano Ferraresi, Marco Castelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl14$lnkDettaglio','')"
"BlueGem Capital Partners","London","+44 / 20 76479710","e.dispiezio@bluegemcp.com","mailto:e.dispiezio@bluegemcp.com","http://www.bluegemcp.com","http://www.bluegemcp.com/","Emilio Di Spiezio Sardo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl15$lnkDettaglio','')"
"BNP Paribas Asset Management Europe","Parigi","-","giovanni.girbino@bnpparibas.com","mailto:giovanni.girbino@bnpparibas.com","http://www.bnpparibas-am.com","http://www.bnpparibas-am.com/","Giovanni Girbino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl16$lnkDettaglio','')"
"Bridgepoint","Milano","+39 / 02 806951","milan@bridgepoint.eu","mailto:milan@bridgepoint.eu","http://www.bridgepoint.eu","http://www.bridgepoint.eu/","Frederic Pescatori, Yuri Pizzasegola","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl17$lnkDettaglio','')"
"BU Italy","Milano","-","ludovica.giovannini@bu-partners.it","mailto:ludovica.giovannini@bu-partners.it","http://www.bu-partners.it","http://www.bu-partners.it/","Ludovica Giovannini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl18$lnkDettaglio','')"
"CAPZA","Milano","+390283966710","szavattaro@capza.co","mailto:szavattaro@capza.co","http://www.capza.co","http://www.capza.co/","Stefano Zavattaro","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl19$lnkDettaglio','')"
"Carlyle","Milano","+39 / 02 6200461","franca.ferrario@carlyle.com","mailto:franca.ferrario@carlyle.com","http://www.carlyle.com","http://www.carlyle.com/","Marco De Benedetti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl20$lnkDettaglio','')"
"Charme Capital Partners SGR","Milano","+39 / 02 8904041","segreteria@charmecapitalpartners.com","mailto:segreteria@charmecapitalpartners.com","http://www.charmecapitalpartners.com","http://www.charmecapitalpartners.com/","Matteo Cordero di Montezemolo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl21$lnkDettaglio','')"
"Cinven","Milano","+39 02 32111700","info@cinven.com","mailto:info@cinven.com","http://www.cinven.com","http://www.cinven.com/","Matteo Corà","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl22$lnkDettaglio','')"
