"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"21 Invest","Treviso","+39 0422 316611","info@21invest.com","mailto:info@21invest.com","http://www.21invest.com","http://www.21invest.com/","Alessandro Benetton","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"8a+ Investimenti SGR","Varese","0332 251411","info@ottoapiu.it","mailto:info@ottoapiu.it","http://www.ottoapiu.it","http://www.ottoapiu.it/","Andrea Pastorelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"Abenex","Milano","-","antonio.catalli@abenex.com","mailto:antonio.catalli@abenex.com","https://www.abenex.com/it/","https://www.abenex.com/it/","Antonio Catalli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"AKSÌA SGR","Milano","+39 / 02 8904631","info@aksiasgr.com","mailto:info@aksiasgr.com","http://www.aksiasgr.com","http://www.aksiasgr.com/","Nicola Emanuele, Marco Rayneri","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"Algebris Investments (Ireland) Limited - Milan Branch","Milano","-","https://www.algebris.com/it/","https://www.algebris.com/it/","-","","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Aliante Lux","Lussemburgo","+41791557766","info@aliantelux.eu","mailto:info@aliantelux.eu","https://aliantegroup.eu","https://aliantegroup.eu/","Paolo Righetto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"Alpha Associati","Milano","+39 / 02 0064001","alphagroup@gruppoalpha.it","mailto:alphagroup@gruppoalpha.it","http://www.alphape.com","http://www.alphape.com/","Paolo Magni, Pasquale Cavaliere","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"Ambienta SGR","Milano","+39 02 7217 461","info@ambientasgr.com","mailto:info@ambientasgr.com","http://www.ambientasgr.com","http://www.ambientasgr.com/","Adele Bertolino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"Andera Partners","Milano","+33763948816","f.gonzaga@anderapartners.com","mailto:f.gonzaga@anderapartners.com","http://www.anderapartners.com","http://www.anderapartners.com/","Francesco Gonzaga","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"Apax Partners","London","+44 020 7872 6300","gabriele.cipparrone@apax.com","mailto:gabriele.cipparrone@apax.com","http://www.apax.com","http://www.apax.com/","Gabriele Cipparrone","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
