"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"21 Invest","Treviso","+39 0422 316611","info@21invest.com","mailto:info@21invest.com","http://www.21invest.com","http://www.21invest.com/","Alessandro Benetton","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"8a+ Investimenti SGR","Varese","0332 251411","info@ottoapiu.it","mailto:info@ottoapiu.it","http://www.ottoapiu.it","http://www.ottoapiu.it/","Andrea Pastorelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"Alcedo SGR","Treviso","+39 / 0422 559111","maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","mailto:maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","http://www.alcedo.it","http://www.alcedo.it/","Maurizio Tiveron, Maria Giovanna Morando","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"Aliante Lux","Lussemburgo","+41791557766","info@aliantelux.eu","mailto:info@aliantelux.eu","https://aliantegroup.eu","https://aliantegroup.eu/","Paolo Righetto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"Alkemia SGR","Milano","+ 39 02 35941052","info@alkemiacapital.com","mailto:info@alkemiacapital.com","http://www.alkemiacapital.com","http://www.alkemiacapital.com/","Luca Maurizio Duranti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Alternative Capital Partners SGR","Milano","02 49652960","ottina@alternativecapital.partners","mailto:ottina@alternativecapital.partners","http://www.alternativecapital.partners","http://www.alternativecapital.partners/","Emanuele Ottina","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"Amundi","Milano","02 00651","para_italy@amundi.com","mailto:para_italy@amundi.com","https://www.amundi.it/","https://www.amundi.it/","Dr. Carles","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"Anima Alternative SGR","Milano","+39 / 02 806381","info@animaalternative.it","mailto:info@animaalternative.it","http://www.animaalternative.it","http://www.animaalternative.it/","Philippe Minard, Andrea Cappuccio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"Antares Advisory Srl","Milano","+39 / 02 36579500","info@antaresinvestimenti.it","mailto:info@antaresinvestimenti.it","-","","Stefano Romiti, Guido Vesin, Alessandro Di Michele","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"Anthilia SGR","Milano","+39 / 02 97386101","info@anthilia.it","mailto:info@anthilia.it","http://www.anthilia.it","http://www.anthilia.it/","Daniele Colantonio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
