"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"Aliante Lux","Lussemburgo","+41791557766","info@aliantelux.eu","mailto:info@aliantelux.eu","https://aliantegroup.eu","https://aliantegroup.eu/","Paolo Righetto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"Apax Partners","London","+44 020 7872 6300","gabriele.cipparrone@apax.com","mailto:gabriele.cipparrone@apax.com","http://www.apax.com","http://www.apax.com/","Gabriele Cipparrone","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"Banca Sella Holding","Biella","+39 / 015 35011","bsh_segreteria@pec.sella.it; giacomo.sella@sella.it","mailto:bsh_segreteria@pec.sella.it; giacomo.sella@sella.it","https://sellagroup.eu/","https://sellagroup.eu/","Giacomo Sella","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"Bridgepoint","Milano","+39 / 02 806951","milan@bridgepoint.eu","mailto:milan@bridgepoint.eu","http://www.bridgepoint.eu","http://www.bridgepoint.eu/","Frederic Pescatori, Yuri Pizzasegola","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Cinven","Milano","+39 02 32111700","info@cinven.com","mailto:info@cinven.com","http://www.cinven.com","http://www.cinven.com/","Matteo Corà","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"CVC Advisers (Italia)","Milano","+39 / 02 7607571","gdepalma@cvc.com","mailto:gdepalma@cvc.com","http://www.cvc.com","http://www.cvc.com/","Giorgio De Palma","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"EQT","Milano","+39 02 82952847","reception.milan@eqtpartners.com","mailto:reception.milan@eqtpartners.com","http://www.eqtgroup.com","http://www.eqtgroup.com/","Massimiliano Manniello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"Excellis Holding","Torino","+39 011 1978 5343","info@excellis.it","mailto:info@excellis.it","https://www.excellis.it/","https://www.excellis.it/","Loris Lanzellotti, Alberto Emprin","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"Generali Investments","Milano","+39 02 43534831","info@generali-invest.com","mailto:info@generali-invest.com","http://www.generali-investments.com/","http://www.generali-investments.com/","Roberto Marsella","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
"Kairos Partners SGR","Milano","+39 02 777 18 1","e.schembari@kairospartners.com; r.zanco@kairospartners.com; m.bonfanti@kairospartners.com","mailto:e.schembari@kairospartners.com; r.zanco@kairospartners.com; m.bonfanti@kairospartners.com","https://www.kairospartners.com/ventures-esg-one/","https://www.kairospartners.com/ventures-esg-one/","Elisa Schembari; Roberto Zanco; Matteo Bonfanti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')"
"Muzinich & Co.","Milano","+39 / 02 00685100","gpellegrini@muzinich.com; cbosco@muzinich.com","mailto:gpellegrini@muzinich.com; cbosco@muzinich.com","https://www.muzinich.com/","https://www.muzinich.com/","Carlo Bosco, Gianpaolo Pellegrini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl11$lnkDettaglio','')"
"Neva SGR","Torino","-","-","mailto:-","https://www.nevasgr.com/","https://www.nevasgr.com/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl12$lnkDettaglio','')"
"PAI SAS - Italian Branch","Milano","+39 / 02 85451520","segreteria.milano@paipartners.com","mailto:segreteria.milano@paipartners.com","http://www.paipartners.com","http://www.paipartners.com/","Raffaele Vitale","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl13$lnkDettaglio','')"
"Permira Associati","Milano","+39 / 02 76004740","giorgio.dinaro@permira.com","mailto:giorgio.dinaro@permira.com","http://www.permira.com","http://www.permira.com/","Giorgio Dinaro","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl14$lnkDettaglio','')"
"Sofinnova Partners","Paris","+33 / 01 76234100","info@sofinnovapartners.com","mailto:info@sofinnovapartners.com","http://www.sofinnovapartners.com","http://www.sofinnovapartners.com/","Graziano Seghezzi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl15$lnkDettaglio','')"
"Star Tech Ventures","Milano","+39 3497571858","novica.mrdovic@add-value.it","mailto:novica.mrdovic@add-value.it","https://startechventures.eu/","https://startechventures.eu/","Novica Mrdovic Vianello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl16$lnkDettaglio','')"
"Swiss Life Asset Managers Luxembourg Succursale Italia","Milano","+39 02 38 585 779","Antonio.Iaquinta@swisslife-am.com","mailto:Antonio.Iaquinta@swisslife-am.com","http://www.swisslife-am.com","http://www.swisslife-am.com/","Antonio Iaquinta","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl17$lnkDettaglio','')"
