"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"8a+ Investimenti SGR","Varese","0332 251411","info@ottoapiu.it","mailto:info@ottoapiu.it","http://www.ottoapiu.it","http://www.ottoapiu.it/","Andrea Pastorelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"Amber Capital Italia SGR","Milano","+39 / 02 00688060","maria.scozzafava@ambercapital.com","mailto:maria.scozzafava@ambercapital.com","http://www.ambercapital.com","http://www.ambercapital.com/","Maria Scozzafava","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"CDP Equity","Milano","+39 02 4674 4333","info@cdpequity.it","mailto:info@cdpequity.it","https://www.cdp.it/sitointernet/it/cdp_equity.page","https://www.cdp.it/sitointernet/it/cdp_equity.page","Enzo Colombo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"Cooperare","Bologna","+39 / 051 6492395","r.cattabriga@cooperarespa.it","mailto:r.cattabriga@cooperarespa.it","http://www.cooperarespa.it","http://www.cooperarespa.it/","Roberto Cattabriga, Marco Bulgarelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"EOS Investment Management Group","London","+44 (0) 20 3709 7759","c.mongillo@eosimgroup.com","mailto:c.mongillo@eosimgroup.com","https://eosimgroup.com/","https://eosimgroup.com/","Ciro Mongillo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"EQT","Milano","+39 02 82952847","reception.milan@eqtpartners.com","mailto:reception.milan@eqtpartners.com","http://www.eqtgroup.com","http://www.eqtgroup.com/","Massimiliano Manniello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"Eurazeo","Parigi","+33 7 69 37 87 89","jtrezza@eurazeo.com","mailto:jtrezza@eurazeo.com","http://www.eurazeo.com","http://www.eurazeo.com/","Julien Trezza","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"Eurizon Capital Real Asset SGR","Milano","-","enzo.colombo@eurizonrealasset.com","mailto:enzo.colombo@eurizonrealasset.com","https://www.eurizoncapital.com/it-IT/chi-siamo/eurizon-capital-real-asset-sgr","https://www.eurizoncapital.com/it-IT/chi-siamo/eurizon-capital-real-asset-sgr","Enzo Colombo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"Finsea","Martina Franca","+39 / 080 4855821","info@gruppofinsea.it","mailto:info@gruppofinsea.it","http://www.gruppofinsea.it","http://www.gruppofinsea.it/","Pietro Vito Chirulli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
"Friulia","Trieste","+39 / 040 31971","mail@friulia.it","mailto:mail@friulia.it","http://www.friulia.it","http://www.friulia.it/","Sara Spogliarich","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')"
"Gepafin","Perugia","+39 / 075 5059811","info@gepafin.it","mailto:info@gepafin.it","http://www.gepafin.it","http://www.gepafin.it/","Marco Tili","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl11$lnkDettaglio','')"
"Overseas Industries","Milano","+39 / 02 76012692","overseas@overseasindustries.com","mailto:overseas@overseasindustries.com","-","","Gonzalo Bazzino, Federico Nordio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl12$lnkDettaglio','')"
"Partners Group (Luxembourg) S.A. - Milan Branch","Milano","+39 / 02 8883691","http://www.partnersgroup.com","http://www.partnersgroup.com/","-","","Enrico Pinelli, Raniero Proietti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl13$lnkDettaglio','')"
"Sviluppo Imprese Centro Italia SGR","Firenze","+39 / 055 200751","info@fondisici.it","mailto:info@fondisici.it","http://www.fondisici.it","http://www.fondisici.it/","Guido Tommei","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl14$lnkDettaglio','')"
"Trentino Sviluppo","Rovereto","+39 / 0464 443111","info@trentinosviluppo.it rita.scottini@trentinosviluppo.it","mailto:info@trentinosviluppo.it rita.scottini@trentinosviluppo.it","http://www.trentinosviluppo.it","http://www.trentinosviluppo.it/","Rita Scottini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl15$lnkDettaglio','')"
"WRM Group","Milano","+39 / 02 47923020","info@wrmgroup.net","mailto:info@wrmgroup.net","http://www.wrmgroup.net","http://www.wrmgroup.net/","Fabrizio Boaron/David Calò","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl16$lnkDettaglio','')"
