"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"Alternative Capital Partners SGR","Milano","02 49652960","ottina@alternativecapital.partners","mailto:ottina@alternativecapital.partners","http://www.alternativecapital.partners","http://www.alternativecapital.partners/","Emanuele Ottina","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"Amundi","Milano","02 00651","para_italy@amundi.com","mailto:para_italy@amundi.com","https://www.amundi.it/","https://www.amundi.it/","Dr. Carles","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"Anima Alternative SGR","Milano","+39 / 02 806381","info@animaalternative.it","mailto:info@animaalternative.it","http://www.animaalternative.it","http://www.animaalternative.it/","Philippe Minard, Andrea Cappuccio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"Anthilia SGR","Milano","+39 / 02 97386101","info@anthilia.it","mailto:info@anthilia.it","http://www.anthilia.it","http://www.anthilia.it/","Daniele Colantonio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"Apax Partners","London","+44 020 7872 6300","gabriele.cipparrone@apax.com","mailto:gabriele.cipparrone@apax.com","http://www.apax.com","http://www.apax.com/","Gabriele Cipparrone","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Apeiron Management","Milano","+39 / 02 82878800","info@apeironmgmt.com","mailto:info@apeironmgmt.com","http://www.apeironmgmt.com","http://www.apeironmgmt.com/","Roberto Maiello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"Azimut Libera Impresa SGR","Milano","+39 / 02 88981","azimutliberaimpresasgr@azimut.it","mailto:azimutliberaimpresasgr@azimut.it","http://www.azimutliberaimpresa.it","http://www.azimutliberaimpresa.it/","Pietro Muzio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"BNP Paribas Asset Management Europe","Parigi","-","giovanni.girbino@bnpparibas.com","mailto:giovanni.girbino@bnpparibas.com","http://www.bnpparibas-am.com","http://www.bnpparibas-am.com/","Giovanni Girbino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"Bridgepoint","Milano","+39 / 02 806951","milan@bridgepoint.eu","mailto:milan@bridgepoint.eu","http://www.bridgepoint.eu","http://www.bridgepoint.eu/","Frederic Pescatori, Yuri Pizzasegola","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
"CAPZA","Milano","+390283966710","szavattaro@capza.co","mailto:szavattaro@capza.co","http://www.capza.co","http://www.capza.co/","Stefano Zavattaro","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')"
"Clessidra Capital Credit SGR","Milano","+39 02 8695221","investor.relations@clessidragroup.it","mailto:investor.relations@clessidragroup.it","http://www.clessidracapitalcredit.it","http://www.clessidracapitalcredit.it/","Silvio Longari","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl11$lnkDettaglio','')"
"Eiffel Investment Group","Paris","+33 (0)1 39 54 35 67","contact@eiffel-ig.com","mailto:contact@eiffel-ig.com","https://www.eiffel-ig.com/","https://www.eiffel-ig.com/","Lorenzo Marzo Magno","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl12$lnkDettaglio','')"
"EnTrust Global Italia","Milano","+39 342 0402378","gfacincani@entrustglobal.com","mailto:gfacincani@entrustglobal.com","http://www.entrustglobal.com","http://www.entrustglobal.com/","Ginevra Facincani","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl13$lnkDettaglio','')"
"Equita Capital SGR","Milano","+39 / 02 62041","p.pendenza@equita.eu","mailto:p.pendenza@equita.eu","https://sgr.equita.eu","https://sgr.equita.eu/","Paolo Pendenza","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl14$lnkDettaglio','')"
"Eurazeo","Parigi","+33 7 69 37 87 89","jtrezza@eurazeo.com","mailto:jtrezza@eurazeo.com","http://www.eurazeo.com","http://www.eurazeo.com/","Julien Trezza","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl15$lnkDettaglio','')"
"Finint Investments SGR","Conegliano","+39 / 0438 360407","sales@finint.com; team_private_debt@finint.com; team.FE4G@finint.com","mailto:sales@finint.com; team_private_debt@finint.com; team.FE4G@finint.com","http://www.finintinvestments.com","http://www.finintinvestments.com/","Mauro Sbroggiò, Vania Serena","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl16$lnkDettaglio','')"
"Fondo Italiano d’Investimento SGR","Milano","+39 / 02 635321","info@fondoitaliano.it","mailto:info@fondoitaliano.it","http://www.fondoitaliano.it","http://www.fondoitaliano.it/","Roberto Travaglino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl17$lnkDettaglio','')"
"Fürstenberg SGR","Milano","+39 / 02 82849000","www.furstenbergsgr.eu","https://www.aifi.it/en/www.furstenbergsgr.eu","-","","Daniele Weisz","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl18$lnkDettaglio','')"
"Generali Investments","Milano","+39 02 43534831","info@generali-invest.com","mailto:info@generali-invest.com","http://www.generali-investments.com/","http://www.generali-investments.com/","Roberto Marsella","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl19$lnkDettaglio','')"
"Green Arrow Capital SGR","Roma","(+39) 06 94354415 -  (+39) 342 624 08 55","investorrelation.sgr@greenarrow-capital.com","mailto:investorrelation.sgr@greenarrow-capital.com","https://www.greenarrow-capital.com/","https://www.greenarrow-capital.com/","Claudio Ansuinelli - Managing Director - Head of Sales","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl20$lnkDettaglio','')"
"Macquarie – MAM","London","+ 39 / 351 7363060 ; +44 / 7917 635779","mamprivatemarketsemea@macquarie.com","mailto:mamprivatemarketsemea@macquarie.com","http://www.macquarie.com/eu","http://www.macquarie.com/eu","Raffaella Copper","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl21$lnkDettaglio','')"
"Mediocredito Centrale","Roma","+39 3351043263; +39 3346261560","alessandra.festini@mcc.it; maria.monna@mcc.it","mailto:alessandra.festini@mcc.it; maria.monna@mcc.it","https://mcc.it","https://mcc.it/","Alessandra Festini; Maria Monna","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl22$lnkDettaglio','')"
"Merito SGR","Milano","-","info@meritosgr.it","mailto:info@meritosgr.it","http://www.meritosgr.it/","http://www.meritosgr.it/","Ludovica Marzocchi; Niccolò Tanini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl23$lnkDettaglio','')"
"Muzinich & Co.","Milano","+39 / 02 00685100","gpellegrini@muzinich.com; cbosco@muzinich.com","mailto:gpellegrini@muzinich.com; cbosco@muzinich.com","https://www.muzinich.com/","https://www.muzinich.com/","Carlo Bosco, Gianpaolo Pellegrini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl24$lnkDettaglio','')"
"Nextalia SGR","Milano","+39 0238 2841","ir@nextaliasgr.com","mailto:ir@nextaliasgr.com","http://www.nextaliasgr.com","http://www.nextaliasgr.com/","Niccolò Bussolati","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl25$lnkDettaglio','')"
"Oxy Capital Italia","Milano","+39 / 02 36723450","amministrazione@oxycapital.com  stefano.visalli@oxycapital.com","mailto:amministrazione@oxycapital.com  stefano.visalli@oxycapital.com","http://www.oxycapital.com","http://www.oxycapital.com/","Stefano Visalli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl26$lnkDettaglio','')"
"Pillarstone","Milano","+390282823900","info@pillarstone.com","mailto:info@pillarstone.com","http://www.pillarstone.com","http://www.pillarstone.com/","Gaudenzio Bonaldo Gregori","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl27$lnkDettaglio','')"
"Riello Investimenti SGR","Milano","+39 / 02 80504178","info@rielloinvestimenti.it","mailto:info@rielloinvestimenti.it","http://www.rielloinvestimenti.it","http://www.rielloinvestimenti.it/","Andrea Tomaschù, Federica Loconsolo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl28$lnkDettaglio','')"
"Sagitta SGR","Milano","+39 / 02 30468301","info@sagittasgr.it","mailto:info@sagittasgr.it","http://www.sagittasgr.it","http://www.sagittasgr.it/","Paola Borracchini/Chiara Valenti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl29$lnkDettaglio','')"
"Tages Capital SGR","Milano","+39 / 02 87337458","angela.racca@tagescapital.com","mailto:angela.racca@tagescapital.com","http://www.tagescapitalsgr.com/","http://www.tagescapitalsgr.com/","Angela Racca","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl30$lnkDettaglio','')"
"TeamSystem Capital at Work SGR","Milano","02 36569566","info@tscawsgr.com; investor@tscawsgr.com","mailto:info@tscawsgr.com; investor@tscawsgr.com","http://www.tscawsgr.com/it","http://www.tscawsgr.com/it","Dario Fracchiolla, Managing Director","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl31$lnkDettaglio','')"
"Three Hills Capital Partners","Milano","+39 / 02 82959110","info@threehills.com, m.anatriello@atypicalpartner.com, b.tamburi@threehills.com, investorservices@threehills.com","mailto:info@threehills.com, m.anatriello@atypicalpartner.com, b.tamburi@threehills.com, investorservices@threehills.com","http://www.threehills.com","http://www.threehills.com/","Marco Anatriello, Beatrice Tamburi, Anna Vivaldi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl32$lnkDettaglio','')"
