"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"Alcedo SGR","Treviso","+39 / 0422 559111","maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","mailto:maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","http://www.alcedo.it","http://www.alcedo.it/","Maurizio Tiveron, Maria Giovanna Morando","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"Amundi","Milano","02 00651","para_italy@amundi.com","mailto:para_italy@amundi.com","https://www.amundi.it/","https://www.amundi.it/","Dr. Carles","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"Andera Partners","Milano","+33763948816","f.gonzaga@anderapartners.com","mailto:f.gonzaga@anderapartners.com","http://www.anderapartners.com","http://www.anderapartners.com/","Francesco Gonzaga","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"AVM SGR SpA Gestore EuVECA Società Benefit","Milano","+39 / 02 83451581","direzione@avmgestioni.com","mailto:direzione@avmgestioni.com","http://www.avmgestioni.com","http://www.avmgestioni.com/","Giovanna Dossena","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"B4 Investimenti SGR","Roma","+39 06 69760200","info@b4investimenti.it","mailto:info@b4investimenti.it","http://www.b4investimenti.it","http://www.b4investimenti.it/","Fabrizio Baroni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Doorway","Bologna","-","team@doorwayplatform.com","mailto:team@doorwayplatform.com","https://www.doorwayplatform.com/it","https://www.doorwayplatform.com/it","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"Entangled Capital SGR","Milano","+39 02 85451750","info@ecsgr.com.com","mailto:info@ecsgr.com.com","http://www.entangledcapital.com","http://www.entangledcapital.com/","Anna Guglielmi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"EOS Investment Management Group","London","+44 (0) 20 3709 7759","c.mongillo@eosimgroup.com","mailto:c.mongillo@eosimgroup.com","https://eosimgroup.com/","https://eosimgroup.com/","Ciro Mongillo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"EQT","Milano","+39 02 82952847","reception.milan@eqtpartners.com","mailto:reception.milan@eqtpartners.com","http://www.eqtgroup.com","http://www.eqtgroup.com/","Massimiliano Manniello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"Finsea","Martina Franca","+39 / 080 4855821","info@gruppofinsea.it","mailto:info@gruppofinsea.it","http://www.gruppofinsea.it","http://www.gruppofinsea.it/","Pietro Vito Chirulli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
