"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"Advent International","Milano","+39 02 8294 6460","fcasiraghi@adventinternational.it","mailto:fcasiraghi@adventinternational.it","http://www.adventinternational.com","http://www.adventinternational.com/","Francesco Casiraghi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"Aurora Growth Capital","Luxembourg","+39 / 02 814 80 801","IR_Auroragrowthcapital@rpalt.com","mailto:IR_Auroragrowthcapital@rpalt.com","http://www.auroragrowthcapital.it","http://www.auroragrowthcapital.it/","Patrizia Micucci, Piero Migliorini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"AVM SGR SpA Gestore EuVECA Società Benefit","Milano","+39 / 02 83451581","direzione@avmgestioni.com","mailto:direzione@avmgestioni.com","http://www.avmgestioni.com","http://www.avmgestioni.com/","Giovanna Dossena","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"Consilium SGR","Milano","+39 / 02 7260191","info@consiliumsgr.it","mailto:info@consiliumsgr.it","http://www.consiliumsgr.com","http://www.consiliumsgr.com/","Antonio Glorioso, Stefano Iamoni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"FARO Value","Milano","/","roberto.delgiudice@farovalue.it","mailto:roberto.delgiudice@farovalue.it","www.faroalternativeinvestments.com","https://www.aifi.it/en/www.faroalternativeinvestments.com","Roberto Del Giudice","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Fondo Italiano d’Investimento SGR","Milano","+39 / 02 635321","info@fondoitaliano.it","mailto:info@fondoitaliano.it","http://www.fondoitaliano.it","http://www.fondoitaliano.it/","Roberto Travaglino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"Friulia","Trieste","+39 / 040 31971","mail@friulia.it","mailto:mail@friulia.it","http://www.friulia.it","http://www.friulia.it/","Sara Spogliarich","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"FVS SGR","Venezia","+39 / 041 5094071","mail@fvssgr.it","mailto:mail@fvssgr.it","http://www.fvssgr.it","http://www.fvssgr.it/","Diego Tognetti, Luca Briotto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"Green Arrow Capital SGR","Roma","(+39) 06 94354415 -  (+39) 342 624 08 55","investorrelation.sgr@greenarrow-capital.com","mailto:investorrelation.sgr@greenarrow-capital.com","https://www.greenarrow-capital.com/","https://www.greenarrow-capital.com/","Claudio Ansuinelli - Managing Director - Head of Sales","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"Innovative-RFK","Milano","+39/ 02 76003846","paolo.pescetto@innovative-rfk.it; antonello.carlucci@innovative-rfk.it","mailto:paolo.pescetto@innovative-rfk.it; antonello.carlucci@innovative-rfk.it","http://www.innovative-rfk.it","http://www.innovative-rfk.it/","Antonello Carlucci","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
