"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"21 Invest","Treviso","+39 0422 316611","info@21invest.com","mailto:info@21invest.com","http://www.21invest.com","http://www.21invest.com/","Alessandro Benetton","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"Advent International","Milano","+39 02 8294 6460","fcasiraghi@adventinternational.it","mailto:fcasiraghi@adventinternational.it","http://www.adventinternational.com","http://www.adventinternational.com/","Francesco Casiraghi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"Alcedo SGR","Treviso","+39 / 0422 559111","maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","mailto:maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","http://www.alcedo.it","http://www.alcedo.it/","Maurizio Tiveron, Maria Giovanna Morando","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"Aliante Lux","Lussemburgo","+41791557766","info@aliantelux.eu","mailto:info@aliantelux.eu","https://aliantegroup.eu","https://aliantegroup.eu/","Paolo Righetto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"Amundi","Milano","02 00651","para_italy@amundi.com","mailto:para_italy@amundi.com","https://www.amundi.it/","https://www.amundi.it/","Dr. Carles","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Andera Partners","Milano","+33763948816","f.gonzaga@anderapartners.com","mailto:f.gonzaga@anderapartners.com","http://www.anderapartners.com","http://www.anderapartners.com/","Francesco Gonzaga","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"Arca Space Capital","Milano","+39 3357529925","lorenzo.giavenni@arcafondi.it","mailto:lorenzo.giavenni@arcafondi.it","http://www.arcafondi.it","http://www.arcafondi.it/","Lorenzo Giavenni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"ARDIAN Italy","Milano","+39 / 02 58442401","milano.pe@ardian.com","mailto:milano.pe@ardian.com","http://www.ardian.com","http://www.ardian.com/","Nicolò Saidelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"Aurora Growth Capital","Luxembourg","+39 / 02 814 80 801","IR_Auroragrowthcapital@rpalt.com","mailto:IR_Auroragrowthcapital@rpalt.com","http://www.auroragrowthcapital.it","http://www.auroragrowthcapital.it/","Patrizia Micucci, Piero Migliorini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"AVM SGR SpA Gestore EuVECA Società Benefit","Milano","+39 / 02 83451581","direzione@avmgestioni.com","mailto:direzione@avmgestioni.com","http://www.avmgestioni.com","http://www.avmgestioni.com/","Giovanna Dossena","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
"B4 Investimenti SGR","Roma","+39 06 69760200","info@b4investimenti.it","mailto:info@b4investimenti.it","http://www.b4investimenti.it","http://www.b4investimenti.it/","Fabrizio Baroni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')"
"Consilium SGR","Milano","+39 / 02 7260191","info@consiliumsgr.it","mailto:info@consiliumsgr.it","http://www.consiliumsgr.com","http://www.consiliumsgr.com/","Antonio Glorioso, Stefano Iamoni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl12$lnkDettaglio','')"
"Cooperare","Bologna","+39 / 051 6492395","r.cattabriga@cooperarespa.it","mailto:r.cattabriga@cooperarespa.it","http://www.cooperarespa.it","http://www.cooperarespa.it/","Roberto Cattabriga, Marco Bulgarelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl13$lnkDettaglio','')"
"DeA Capital Alternative Funds SGR","Milano","+39 02 2906631","ir-af@deacapital.com","mailto:ir-af@deacapital.com","http://www.deacapitalaf.com","http://www.deacapitalaf.com/","Alessandra Patera","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl14$lnkDettaglio','')"
"Doorway","Bologna","-","team@doorwayplatform.com","mailto:team@doorwayplatform.com","https://www.doorwayplatform.com/it","https://www.doorwayplatform.com/it","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl15$lnkDettaglio','')"
"Entangled Capital SGR","Milano","+39 02 85451750","info@ecsgr.com.com","mailto:info@ecsgr.com.com","http://www.entangledcapital.com","http://www.entangledcapital.com/","Anna Guglielmi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl16$lnkDettaglio','')"
"FARO Value","Milano","/","roberto.delgiudice@farovalue.it","mailto:roberto.delgiudice@farovalue.it","www.faroalternativeinvestments.com","https://www.aifi.it/en/www.faroalternativeinvestments.com","Roberto Del Giudice","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl17$lnkDettaglio','')"
"Finint Investments SGR","Conegliano","+39 / 0438 360407","sales@finint.com; team_private_debt@finint.com; team.FE4G@finint.com","mailto:sales@finint.com; team_private_debt@finint.com; team.FE4G@finint.com","http://www.finintinvestments.com","http://www.finintinvestments.com/","Mauro Sbroggiò, Vania Serena","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl18$lnkDettaglio','')"
"Finsea","Martina Franca","+39 / 080 4855821","info@gruppofinsea.it","mailto:info@gruppofinsea.it","http://www.gruppofinsea.it","http://www.gruppofinsea.it/","Pietro Vito Chirulli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl19$lnkDettaglio','')"
"Fondo Italiano d’Investimento SGR","Milano","+39 / 02 635321","info@fondoitaliano.it","mailto:info@fondoitaliano.it","http://www.fondoitaliano.it","http://www.fondoitaliano.it/","Roberto Travaglino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl20$lnkDettaglio','')"
"Friulia","Trieste","+39 / 040 31971","mail@friulia.it","mailto:mail@friulia.it","http://www.friulia.it","http://www.friulia.it/","Sara Spogliarich","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl21$lnkDettaglio','')"
"FVS SGR","Venezia","+39 / 041 5094071","mail@fvssgr.it","mailto:mail@fvssgr.it","http://www.fvssgr.it","http://www.fvssgr.it/","Diego Tognetti, Luca Briotto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl22$lnkDettaglio','')"
"Green Arrow Capital SGR","Roma","(+39) 06 94354415 -  (+39) 342 624 08 55","investorrelation.sgr@greenarrow-capital.com","mailto:investorrelation.sgr@greenarrow-capital.com","https://www.greenarrow-capital.com/","https://www.greenarrow-capital.com/","Claudio Ansuinelli - Managing Director - Head of Sales","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl23$lnkDettaglio','')"
"Ibla Capital","Roma","+39 / 06 8635 6235","info@iblacapital.com","mailto:info@iblacapital.com","http://www.iblacapital.com","http://www.iblacapital.com/","Alessandro Lo Savio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl24$lnkDettaglio','')"
"Innovative-RFK","Milano","+39/ 02 76003846","paolo.pescetto@innovative-rfk.it; antonello.carlucci@innovative-rfk.it","mailto:paolo.pescetto@innovative-rfk.it; antonello.carlucci@innovative-rfk.it","http://www.innovative-rfk.it","http://www.innovative-rfk.it/","Antonello Carlucci","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl25$lnkDettaglio','')"
"Invitalia","Roma","+39 06 42160","segreteria_invman@invitalia.it; ariccio@invitalia.it ; dstraventa@invitalia.it","mailto:segreteria_invman@invitalia.it; ariccio@invitalia.it ; dstraventa@invitalia.it","http://www.invitalia.it","http://www.invitalia.it/","Ernesto Somma; Antonio Riccio; Daniele Straventa","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl26$lnkDettaglio','')"
"Itago SGR","Venezia","+39 041 0996660","info@itagopartners.it","mailto:info@itagopartners.it","http://www.itagopartners.it","http://www.itagopartners.it/","Piergiorgio Fantin, Domenico Tonussi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl27$lnkDettaglio','')"
"Kyip Capital Sgr","Milano","0283972899","info@kyipcapital.com","mailto:info@kyipcapital.com","https://kyipcapital.com/","https://kyipcapital.com/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl28$lnkDettaglio','')"
"L Catterton Italy Advisors","Milano","+39 / 02 7626191","lcatterton.europe@lcatterton.com","mailto:lcatterton.europe@lcatterton.com","http://www.lcatterton.com","http://www.lcatterton.com/","L Catterton","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl29$lnkDettaglio','')"
"Mittel","Milano","+39 / 02 721411","pe@mittel.it","mailto:pe@mittel.it","http://www.mittel.it","http://www.mittel.it/","Pietro Santicoli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl30$lnkDettaglio','')"
"Montefiore Investment","Milano","+39 02 86 88 63 08","ml@montefiore.eu; ac@montefiore.eu","mailto:ml@montefiore.eu; ac@montefiore.eu","https://montefiore.eu/en/","https://montefiore.eu/en/","Marie Londero, Alessandro Candido","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl31$lnkDettaglio','')"
"Neva SGR","Torino","-","-","mailto:-","https://www.nevasgr.com/","https://www.nevasgr.com/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl32$lnkDettaglio','')"
"PAI SAS - Italian Branch","Milano","+39 / 02 85451520","segreteria.milano@paipartners.com","mailto:segreteria.milano@paipartners.com","http://www.paipartners.com","http://www.paipartners.com/","Raffaele Vitale","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl33$lnkDettaglio','')"
"Permira Associati","Milano","+39 / 02 76004740","giorgio.dinaro@permira.com","mailto:giorgio.dinaro@permira.com","http://www.permira.com","http://www.permira.com/","Giorgio Dinaro","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl34$lnkDettaglio','')"
"Portobello Capital","Madrid","+34 914 318 071","info@portobellocapital.es","mailto:info@portobellocapital.es","http://www.portobellocapital.es/en/","http://www.portobellocapital.es/en/","Antonio Todisco","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl35$lnkDettaglio','')"
"Quadrivio Group","Milano","+39 / 02 89093758","info@quadriviogroup.com","mailto:info@quadriviogroup.com","http://www.quadriviogroup.com","http://www.quadriviogroup.com/","Walter Ricciotti, CEO Quadrivio Group","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl36$lnkDettaglio','')"
"Riello Investimenti SGR","Milano","+39 / 02 80504178","info@rielloinvestimenti.it","mailto:info@rielloinvestimenti.it","http://www.rielloinvestimenti.it","http://www.rielloinvestimenti.it/","Andrea Tomaschù, Federica Loconsolo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl37$lnkDettaglio','')"
"Sagard","Milano","-","alessia.frigerio@sagard.eu","mailto:alessia.frigerio@sagard.eu","https://www.sagard.com/midcap/","https://www.sagard.com/midcap/","Andrea Bertoncello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl38$lnkDettaglio','')"
"Style Capital SGR","Milano","+39 / 02 45499848","roberta.benaglia@stylecapital.it , info@stylecapital.it","mailto:roberta.benaglia@stylecapital.it , info@stylecapital.it","http://www.stylecapital.it","http://www.stylecapital.it/","Roberta Benaglia","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl39$lnkDettaglio','')"
