"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"Aliante Lux","Lussemburgo","+41791557766","info@aliantelux.eu","mailto:info@aliantelux.eu","https://aliantegroup.eu","https://aliantegroup.eu/","Paolo Righetto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"ARDIAN Italy","Milano","+39 / 02 58442401","milano.pe@ardian.com","mailto:milano.pe@ardian.com","http://www.ardian.com","http://www.ardian.com/","Nicolò Saidelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"B4 Investimenti SGR","Roma","+39 06 69760200","info@b4investimenti.it","mailto:info@b4investimenti.it","http://www.b4investimenti.it","http://www.b4investimenti.it/","Fabrizio Baroni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"FARO Value","Milano","/","roberto.delgiudice@farovalue.it","mailto:roberto.delgiudice@farovalue.it","www.faroalternativeinvestments.com","https://www.aifi.it/en/www.faroalternativeinvestments.com","Roberto Del Giudice","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"Finint Investments SGR","Conegliano","+39 / 0438 360407","sales@finint.com; team_private_debt@finint.com; team.FE4G@finint.com","mailto:sales@finint.com; team_private_debt@finint.com; team.FE4G@finint.com","http://www.finintinvestments.com","http://www.finintinvestments.com/","Mauro Sbroggiò, Vania Serena","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Friulia","Trieste","+39 / 040 31971","mail@friulia.it","mailto:mail@friulia.it","http://www.friulia.it","http://www.friulia.it/","Sara Spogliarich","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"FVS SGR","Venezia","+39 / 041 5094071","mail@fvssgr.it","mailto:mail@fvssgr.it","http://www.fvssgr.it","http://www.fvssgr.it/","Diego Tognetti, Luca Briotto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"Innovative-RFK","Milano","+39/ 02 76003846","paolo.pescetto@innovative-rfk.it; antonello.carlucci@innovative-rfk.it","mailto:paolo.pescetto@innovative-rfk.it; antonello.carlucci@innovative-rfk.it","http://www.innovative-rfk.it","http://www.innovative-rfk.it/","Antonello Carlucci","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"Invitalia","Roma","+39 06 42160","segreteria_invman@invitalia.it; ariccio@invitalia.it ; dstraventa@invitalia.it","mailto:segreteria_invman@invitalia.it; ariccio@invitalia.it ; dstraventa@invitalia.it","http://www.invitalia.it","http://www.invitalia.it/","Ernesto Somma; Antonio Riccio; Daniele Straventa","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"Mittel","Milano","+39 / 02 721411","pe@mittel.it","mailto:pe@mittel.it","http://www.mittel.it","http://www.mittel.it/","Pietro Santicoli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
"Quadrivio Group","Milano","+39 / 02 89093758","info@quadriviogroup.com","mailto:info@quadriviogroup.com","http://www.quadriviogroup.com","http://www.quadriviogroup.com/","Walter Ricciotti, CEO Quadrivio Group","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')"
"Riello Investimenti SGR","Milano","+39 / 02 80504178","info@rielloinvestimenti.it","mailto:info@rielloinvestimenti.it","http://www.rielloinvestimenti.it","http://www.rielloinvestimenti.it/","Andrea Tomaschù, Federica Loconsolo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl11$lnkDettaglio','')"
"Sagard","Milano","-","alessia.frigerio@sagard.eu","mailto:alessia.frigerio@sagard.eu","https://www.sagard.com/midcap/","https://www.sagard.com/midcap/","Andrea Bertoncello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl12$lnkDettaglio','')"
"Star Capital SGR","Milano","+39 / 02 88585411","info@starcapital.it","mailto:info@starcapital.it","http://www.starcapital.it","http://www.starcapital.it/","Marco Gazzaniga","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl13$lnkDettaglio','')"
"Style Capital SGR","Milano","+39 / 02 45499848","roberta.benaglia@stylecapital.it , info@stylecapital.it","mailto:roberta.benaglia@stylecapital.it , info@stylecapital.it","http://www.stylecapital.it","http://www.stylecapital.it/","Roberta Benaglia","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl14$lnkDettaglio','')"
"Tages Capital SGR","Milano","+39 / 02 87337458","angela.racca@tagescapital.com","mailto:angela.racca@tagescapital.com","http://www.tagescapitalsgr.com/","http://www.tagescapitalsgr.com/","Angela Racca","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl15$lnkDettaglio','')"
"TeamSystem Capital at Work SGR","Milano","02 36569566","info@tscawsgr.com; investor@tscawsgr.com","mailto:info@tscawsgr.com; investor@tscawsgr.com","http://www.tscawsgr.com/it","http://www.tscawsgr.com/it","Dario Fracchiolla, Managing Director","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl16$lnkDettaglio','')"
