"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"21 Invest","Treviso","+39 0422 316611","info@21invest.com","mailto:info@21invest.com","http://www.21invest.com","http://www.21invest.com/","Alessandro Benetton","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"Advent International","Milano","+39 02 8294 6460","fcasiraghi@adventinternational.it","mailto:fcasiraghi@adventinternational.it","http://www.adventinternational.com","http://www.adventinternational.com/","Francesco Casiraghi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"Alcedo SGR","Treviso","+39 / 0422 559111","maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","mailto:maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","http://www.alcedo.it","http://www.alcedo.it/","Maurizio Tiveron, Maria Giovanna Morando","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"Andera Partners","Milano","+33763948816","f.gonzaga@anderapartners.com","mailto:f.gonzaga@anderapartners.com","http://www.anderapartners.com","http://www.anderapartners.com/","Francesco Gonzaga","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"Apax Partners","London","+44 020 7872 6300","gabriele.cipparrone@apax.com","mailto:gabriele.cipparrone@apax.com","http://www.apax.com","http://www.apax.com/","Gabriele Cipparrone","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Arca Space Capital","Milano","+39 3357529925","lorenzo.giavenni@arcafondi.it","mailto:lorenzo.giavenni@arcafondi.it","http://www.arcafondi.it","http://www.arcafondi.it/","Lorenzo Giavenni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"ARDIAN Italy","Milano","+39 / 02 58442401","milano.pe@ardian.com","mailto:milano.pe@ardian.com","http://www.ardian.com","http://www.ardian.com/","Nicolò Saidelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"Aurora Growth Capital","Luxembourg","+39 / 02 814 80 801","IR_Auroragrowthcapital@rpalt.com","mailto:IR_Auroragrowthcapital@rpalt.com","http://www.auroragrowthcapital.it","http://www.auroragrowthcapital.it/","Patrizia Micucci, Piero Migliorini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"AVM SGR SpA Gestore EuVECA Società Benefit","Milano","+39 / 02 83451581","direzione@avmgestioni.com","mailto:direzione@avmgestioni.com","http://www.avmgestioni.com","http://www.avmgestioni.com/","Giovanna Dossena","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"B4 Investimenti SGR","Roma","+39 06 69760200","info@b4investimenti.it","mailto:info@b4investimenti.it","http://www.b4investimenti.it","http://www.b4investimenti.it/","Fabrizio Baroni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
"Bain Capital","London","+44 / 207 5145252","http://www.baincapital.com","http://www.baincapital.com/","-","","Luca Bassi, Ivano Sessa","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')"
"BC Partners","London","+44 / 20 70094800","london@bcpartners.com","mailto:london@bcpartners.com","http://www.bcpartners.com","http://www.bcpartners.com/","Stefano Ferraresi, Marco Castelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl11$lnkDettaglio','')"
"BU Italy","Milano","-","ludovica.giovannini@bu-partners.it","mailto:ludovica.giovannini@bu-partners.it","http://www.bu-partners.it","http://www.bu-partners.it/","Ludovica Giovannini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl13$lnkDettaglio','')"
"Clessidra Private Equity SGR","Milano","+39 / 02 8695221","investor.relations@clessidragroup.it","mailto:investor.relations@clessidragroup.it","http://www.clessidraprivateequity.it","http://www.clessidraprivateequity.it/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl14$lnkDettaglio','')"
"Como Venture","Como","+39 / 031 2287624","segreteria@comoventure.it","mailto:segreteria@comoventure.it","http://www.comoventure.it","http://www.comoventure.it/","Lino Moscatelli, Filippo Arcioni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl15$lnkDettaglio','')"
"Consilium SGR","Milano","+39 / 02 7260191","info@consiliumsgr.it","mailto:info@consiliumsgr.it","http://www.consiliumsgr.com","http://www.consiliumsgr.com/","Antonio Glorioso, Stefano Iamoni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl16$lnkDettaglio','')"
"DBAG Italia","Milano","+39 02 0070 2462","Michela.Biolcati@dbagitalia.com","mailto:Michela.Biolcati@dbagitalia.com","http://www.dbagitalia.com","http://www.dbagitalia.com/","Giovanni Revoltella","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl17$lnkDettaglio','')"
"Doorway","Bologna","-","team@doorwayplatform.com","mailto:team@doorwayplatform.com","https://www.doorwayplatform.com/it","https://www.doorwayplatform.com/it","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl18$lnkDettaglio','')"
"Entangled Capital SGR","Milano","+39 02 85451750","info@ecsgr.com.com","mailto:info@ecsgr.com.com","http://www.entangledcapital.com","http://www.entangledcapital.com/","Anna Guglielmi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl19$lnkDettaglio','')"
"EOS Investment Management Group","London","+44 (0) 20 3709 7759","c.mongillo@eosimgroup.com","mailto:c.mongillo@eosimgroup.com","https://eosimgroup.com/","https://eosimgroup.com/","Ciro Mongillo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl20$lnkDettaglio','')"
"EQT","Milano","+39 02 82952847","reception.milan@eqtpartners.com","mailto:reception.milan@eqtpartners.com","http://www.eqtgroup.com","http://www.eqtgroup.com/","Massimiliano Manniello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl21$lnkDettaglio','')"
"Equinox AIFM","Luxembourg","+352 / 208001221","aifm@equinox-aifm.lu","mailto:aifm@equinox-aifm.lu","http://www.equinox-investments.com","http://www.equinox-investments.com/","Giorgio Mercogliano","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl22$lnkDettaglio','')"
"Equiter - Investimenti per il Territorio","Torino","+39 011 5557903","segreteria@equiterspa.com","mailto:segreteria@equiterspa.com","http://www.equiterspa.com","http://www.equiterspa.com/","Igor Calcio Gaudino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl23$lnkDettaglio','')"
"Excellis Holding","Torino","+39 011 1978 5343","info@excellis.it","mailto:info@excellis.it","https://www.excellis.it/","https://www.excellis.it/","Loris Lanzellotti, Alberto Emprin","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl24$lnkDettaglio','')"
"Finint Investments SGR","Conegliano","+39 / 0438 360407","sales@finint.com; team_private_debt@finint.com; team.FE4G@finint.com","mailto:sales@finint.com; team_private_debt@finint.com; team.FE4G@finint.com","http://www.finintinvestments.com","http://www.finintinvestments.com/","Mauro Sbroggiò, Vania Serena","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl25$lnkDettaglio','')"
"Finsea","Martina Franca","+39 / 080 4855821","info@gruppofinsea.it","mailto:info@gruppofinsea.it","http://www.gruppofinsea.it","http://www.gruppofinsea.it/","Pietro Vito Chirulli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl26$lnkDettaglio','')"
"Fondo Italiano d’Investimento SGR","Milano","+39 / 02 635321","info@fondoitaliano.it","mailto:info@fondoitaliano.it","http://www.fondoitaliano.it","http://www.fondoitaliano.it/","Roberto Travaglino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl27$lnkDettaglio','')"
"Friulia","Trieste","+39 / 040 31971","mail@friulia.it","mailto:mail@friulia.it","http://www.friulia.it","http://www.friulia.it/","Sara Spogliarich","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl28$lnkDettaglio','')"
"FVS SGR","Venezia","+39 / 041 5094071","mail@fvssgr.it","mailto:mail@fvssgr.it","http://www.fvssgr.it","http://www.fvssgr.it/","Diego Tognetti, Luca Briotto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl29$lnkDettaglio','')"
"Green Arrow Capital SGR","Roma","(+39) 06 94354415 -  (+39) 342 624 08 55","investorrelation.sgr@greenarrow-capital.com","mailto:investorrelation.sgr@greenarrow-capital.com","https://www.greenarrow-capital.com/","https://www.greenarrow-capital.com/","Claudio Ansuinelli - Managing Director - Head of Sales","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl30$lnkDettaglio','')"
"Ibla Capital","Roma","+39 / 06 8635 6235","info@iblacapital.com","mailto:info@iblacapital.com","http://www.iblacapital.com","http://www.iblacapital.com/","Alessandro Lo Savio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl31$lnkDettaglio','')"
"Innovative-RFK","Milano","+39/ 02 76003846","paolo.pescetto@innovative-rfk.it; antonello.carlucci@innovative-rfk.it","mailto:paolo.pescetto@innovative-rfk.it; antonello.carlucci@innovative-rfk.it","http://www.innovative-rfk.it","http://www.innovative-rfk.it/","Antonello Carlucci","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl32$lnkDettaglio','')"
"Itago SGR","Venezia","+39 041 0996660","info@itagopartners.it","mailto:info@itagopartners.it","http://www.itagopartners.it","http://www.itagopartners.it/","Piergiorgio Fantin, Domenico Tonussi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl33$lnkDettaglio','')"
"Kyip Capital Sgr","Milano","0283972899","info@kyipcapital.com","mailto:info@kyipcapital.com","https://kyipcapital.com/","https://kyipcapital.com/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl34$lnkDettaglio','')"
"Mediocredito Centrale","Roma","+39 3351043263; +39 3346261560","alessandra.festini@mcc.it; maria.monna@mcc.it","mailto:alessandra.festini@mcc.it; maria.monna@mcc.it","https://mcc.it","https://mcc.it/","Alessandra Festini; Maria Monna","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl35$lnkDettaglio','')"
"MITO Technology","Milano","-","info@mitotech.eu","mailto:info@mitotech.eu","http://www.mitotech.eu","http://www.mitotech.eu/","Francesco De Michelis","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl36$lnkDettaglio','')"
"Mittel","Milano","+39 / 02 721411","pe@mittel.it","mailto:pe@mittel.it","http://www.mittel.it","http://www.mittel.it/","Pietro Santicoli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl37$lnkDettaglio','')"
"Montefiore Investment","Milano","+39 02 86 88 63 08","ml@montefiore.eu; ac@montefiore.eu","mailto:ml@montefiore.eu; ac@montefiore.eu","https://montefiore.eu/en/","https://montefiore.eu/en/","Marie Londero, Alessandro Candido","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl38$lnkDettaglio','')"
"Neva SGR","Torino","-","-","mailto:-","https://www.nevasgr.com/","https://www.nevasgr.com/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl39$lnkDettaglio','')"
"Origine SGR","Milano","-","www.originesgr.com","https://www.aifi.it/en/www.originesgr.com","-","","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl40$lnkDettaglio','')"
