"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"Advent International","Milano","+39 02 8294 6460","fcasiraghi@adventinternational.it","mailto:fcasiraghi@adventinternational.it","http://www.adventinternational.com","http://www.adventinternational.com/","Francesco Casiraghi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"Aliante Lux","Lussemburgo","+41791557766","info@aliantelux.eu","mailto:info@aliantelux.eu","https://aliantegroup.eu","https://aliantegroup.eu/","Paolo Righetto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"Andera Partners","Milano","+33763948816","f.gonzaga@anderapartners.com","mailto:f.gonzaga@anderapartners.com","http://www.anderapartners.com","http://www.anderapartners.com/","Francesco Gonzaga","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"Arca Space Capital","Milano","+39 3357529925","lorenzo.giavenni@arcafondi.it","mailto:lorenzo.giavenni@arcafondi.it","http://www.arcafondi.it","http://www.arcafondi.it/","Lorenzo Giavenni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"B4 Investimenti SGR","Roma","+39 06 69760200","info@b4investimenti.it","mailto:info@b4investimenti.it","http://www.b4investimenti.it","http://www.b4investimenti.it/","Fabrizio Baroni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Entangled Capital SGR","Milano","+39 02 85451750","info@ecsgr.com.com","mailto:info@ecsgr.com.com","http://www.entangledcapital.com","http://www.entangledcapital.com/","Anna Guglielmi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"Equiter - Investimenti per il Territorio","Torino","+39 011 5557903","segreteria@equiterspa.com","mailto:segreteria@equiterspa.com","http://www.equiterspa.com","http://www.equiterspa.com/","Igor Calcio Gaudino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"Excellis Holding","Torino","+39 011 1978 5343","info@excellis.it","mailto:info@excellis.it","https://www.excellis.it/","https://www.excellis.it/","Loris Lanzellotti, Alberto Emprin","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"FARO Value","Milano","/","roberto.delgiudice@farovalue.it","mailto:roberto.delgiudice@farovalue.it","www.faroalternativeinvestments.com","https://www.aifi.it/en/www.faroalternativeinvestments.com","Roberto Del Giudice","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"FVS SGR","Venezia","+39 / 041 5094071","mail@fvssgr.it","mailto:mail@fvssgr.it","http://www.fvssgr.it","http://www.fvssgr.it/","Diego Tognetti, Luca Briotto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
"Ibla Capital","Roma","+39 / 06 8635 6235","info@iblacapital.com","mailto:info@iblacapital.com","http://www.iblacapital.com","http://www.iblacapital.com/","Alessandro Lo Savio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')"
"Invitalia","Roma","+39 06 42160","segreteria_invman@invitalia.it; ariccio@invitalia.it ; dstraventa@invitalia.it","mailto:segreteria_invman@invitalia.it; ariccio@invitalia.it ; dstraventa@invitalia.it","http://www.invitalia.it","http://www.invitalia.it/","Ernesto Somma; Antonio Riccio; Daniele Straventa","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl11$lnkDettaglio','')"
"Itago SGR","Venezia","+39 041 0996660","info@itagopartners.it","mailto:info@itagopartners.it","http://www.itagopartners.it","http://www.itagopartners.it/","Piergiorgio Fantin, Domenico Tonussi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl12$lnkDettaglio','')"
"Kyip Capital Sgr","Milano","0283972899","info@kyipcapital.com","mailto:info@kyipcapital.com","https://kyipcapital.com/","https://kyipcapital.com/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl13$lnkDettaglio','')"
"LIFTT","Torino","+39 3497796983","alice.mariotti@liftt.com","mailto:alice.mariotti@liftt.com","https://www.liftt.com/","https://www.liftt.com/","Alice Mariotti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl14$lnkDettaglio','')"
"Riello Investimenti SGR","Milano","+39 / 02 80504178","info@rielloinvestimenti.it","mailto:info@rielloinvestimenti.it","http://www.rielloinvestimenti.it","http://www.rielloinvestimenti.it/","Andrea Tomaschù, Federica Loconsolo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl15$lnkDettaglio','')"
"Sagard","Milano","-","alessia.frigerio@sagard.eu","mailto:alessia.frigerio@sagard.eu","https://www.sagard.com/midcap/","https://www.sagard.com/midcap/","Andrea Bertoncello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl16$lnkDettaglio','')"
"Scientifica Venture Capital","Roma","+39 06 58364 202","info@scientifica.vc","mailto:info@scientifica.vc","https://scientifica.vc/","https://scientifica.vc/","Simone Valorani","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl17$lnkDettaglio','')"
"Smart Capital","Monza","+39 3392778721","amministrazione@smart-capital.it","mailto:amministrazione@smart-capital.it","https://www.smart-capital.it/","https://www.smart-capital.it/","Andrea Costantini; Andrea Faraggiana","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl18$lnkDettaglio','')"
"Star Capital SGR","Milano","+39 / 02 88585411","info@starcapital.it","mailto:info@starcapital.it","http://www.starcapital.it","http://www.starcapital.it/","Marco Gazzaniga","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl19$lnkDettaglio','')"
"Tages Capital SGR","Milano","+39 / 02 87337458","angela.racca@tagescapital.com","mailto:angela.racca@tagescapital.com","http://www.tagescapitalsgr.com/","http://www.tagescapitalsgr.com/","Angela Racca","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl20$lnkDettaglio','')"
"TeamSystem Capital at Work SGR","Milano","02 36569566","info@tscawsgr.com; investor@tscawsgr.com","mailto:info@tscawsgr.com; investor@tscawsgr.com","http://www.tscawsgr.com/it","http://www.tscawsgr.com/it","Dario Fracchiolla, Managing Director","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl21$lnkDettaglio','')"
