"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"21 Invest","Treviso","+39 0422 316611","info@21invest.com","mailto:info@21invest.com","http://www.21invest.com","http://www.21invest.com/","Alessandro Benetton","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"Alcedo SGR","Treviso","+39 / 0422 559111","maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","mailto:maurizio.tiveron@alcedo.it  amministrazione@alcedo.it","http://www.alcedo.it","http://www.alcedo.it/","Maurizio Tiveron, Maria Giovanna Morando","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"Arca Space Capital","Milano","+39 3357529925","lorenzo.giavenni@arcafondi.it","mailto:lorenzo.giavenni@arcafondi.it","http://www.arcafondi.it","http://www.arcafondi.it/","Lorenzo Giavenni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"CAPZA","Milano","+390283966710","szavattaro@capza.co","mailto:szavattaro@capza.co","http://www.capza.co","http://www.capza.co/","Stefano Zavattaro","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"Doorway","Bologna","-","team@doorwayplatform.com","mailto:team@doorwayplatform.com","https://www.doorwayplatform.com/it","https://www.doorwayplatform.com/it","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Equiter - Investimenti per il Territorio","Torino","+39 011 5557903","segreteria@equiterspa.com","mailto:segreteria@equiterspa.com","http://www.equiterspa.com","http://www.equiterspa.com/","Igor Calcio Gaudino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"Equiter SGR","Torino","+39 02 30322459","info@equitersgr.it","mailto:info@equitersgr.it","-","","Enrico Loewenthal","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"Eurazeo","Parigi","+33 7 69 37 87 89","jtrezza@eurazeo.com","mailto:jtrezza@eurazeo.com","http://www.eurazeo.com","http://www.eurazeo.com/","Julien Trezza","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"Excellis Holding","Torino","+39 011 1978 5343","info@excellis.it","mailto:info@excellis.it","https://www.excellis.it/","https://www.excellis.it/","Loris Lanzellotti, Alberto Emprin","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"HAT SGR","Milano","+39 / 02 89286200","info@hat.it","mailto:info@hat.it","http://www.hat.it","http://www.hat.it/","Ignazio Castiglioni, Nino Attanasio, Lorenzo Dall'Oca","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
"Kyip Capital Sgr","Milano","0283972899","info@kyipcapital.com","mailto:info@kyipcapital.com","https://kyipcapital.com/","https://kyipcapital.com/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')"
"LIFTT","Torino","+39 3497796983","alice.mariotti@liftt.com","mailto:alice.mariotti@liftt.com","https://www.liftt.com/","https://www.liftt.com/","Alice Mariotti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl11$lnkDettaglio','')"
"Neva SGR","Torino","-","-","mailto:-","https://www.nevasgr.com/","https://www.nevasgr.com/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl12$lnkDettaglio','')"
"Sagard","Milano","-","alessia.frigerio@sagard.eu","mailto:alessia.frigerio@sagard.eu","https://www.sagard.com/midcap/","https://www.sagard.com/midcap/","Andrea Bertoncello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl13$lnkDettaglio','')"
"Scientifica Venture Capital","Roma","+39 06 58364 202","info@scientifica.vc","mailto:info@scientifica.vc","https://scientifica.vc/","https://scientifica.vc/","Simone Valorani","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl14$lnkDettaglio','')"
"Sofinnova Partners","Paris","+33 / 01 76234100","info@sofinnovapartners.com","mailto:info@sofinnovapartners.com","http://www.sofinnovapartners.com","http://www.sofinnovapartners.com/","Graziano Seghezzi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl15$lnkDettaglio','')"
"Tages Capital SGR","Milano","+39 / 02 87337458","angela.racca@tagescapital.com","mailto:angela.racca@tagescapital.com","http://www.tagescapitalsgr.com/","http://www.tagescapitalsgr.com/","Angela Racca","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl16$lnkDettaglio','')"
"Vertis SGR","Napoli","+39 / 081 2404096","vertis@vertis.it","mailto:vertis@vertis.it","http://www.vertis.it","http://www.vertis.it/","Amedeo Giurazza","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl17$lnkDettaglio','')"
