"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"8a+ Investimenti SGR","Varese","0332 251411","info@ottoapiu.it","mailto:info@ottoapiu.it","http://www.ottoapiu.it","http://www.ottoapiu.it/","Andrea Pastorelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"Abenex","Milano","-","antonio.catalli@abenex.com","mailto:antonio.catalli@abenex.com","https://www.abenex.com/it/","https://www.abenex.com/it/","Antonio Catalli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"AKSÌA SGR","Milano","+39 / 02 8904631","info@aksiasgr.com","mailto:info@aksiasgr.com","http://www.aksiasgr.com","http://www.aksiasgr.com/","Nicola Emanuele, Marco Rayneri","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"Alkemia SGR","Milano","+ 39 02 35941052","info@alkemiacapital.com","mailto:info@alkemiacapital.com","http://www.alkemiacapital.com","http://www.alkemiacapital.com/","Luca Maurizio Duranti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"Alpha Associati","Milano","+39 / 02 0064001","alphagroup@gruppoalpha.it","mailto:alphagroup@gruppoalpha.it","http://www.alphape.com","http://www.alphape.com/","Paolo Magni, Pasquale Cavaliere","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"Alto Partners SGR","Milano","+39 / 02 72095041","segreteria@altopartners.it","mailto:segreteria@altopartners.it","http://www.altopartners.it","http://www.altopartners.it/","Stefano Scarpis, Raffaele de Courten, Gianmarco Gandolfi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"Amber Capital Italia SGR","Milano","+39 / 02 00688060","maria.scozzafava@ambercapital.com","mailto:maria.scozzafava@ambercapital.com","http://www.ambercapital.com","http://www.ambercapital.com/","Maria Scozzafava","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"Anima Alternative SGR","Milano","+39 / 02 806381","info@animaalternative.it","mailto:info@animaalternative.it","http://www.animaalternative.it","http://www.animaalternative.it/","Philippe Minard, Andrea Cappuccio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"Antares Advisory Srl","Milano","+39 / 02 36579500","info@antaresinvestimenti.it","mailto:info@antaresinvestimenti.it","-","","Stefano Romiti, Guido Vesin, Alessandro Di Michele","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"Anthilia SGR","Milano","+39 / 02 97386101","info@anthilia.it","mailto:info@anthilia.it","http://www.anthilia.it","http://www.anthilia.it/","Daniele Colantonio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
"Apeiron Management","Milano","+39 / 02 82878800","info@apeironmgmt.com","mailto:info@apeironmgmt.com","http://www.apeironmgmt.com","http://www.apeironmgmt.com/","Roberto Maiello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')"
"Apheon","Milano","+39 02 453 911 30","https://www.apheon.com/","https://www.apheon.com/","-","","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl11$lnkDettaglio','')"
"Argos Wityu Italia","Milano","+39 / 02 00660700","jpdb@argos.fund, am@argos.fund","mailto:jpdb@argos.fund, am@argos.fund","http://www.argos.wityu.fund","http://www.argos.wityu.fund/","Jean-Pierre Di Benedetto, Alessio Manigrasso","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl12$lnkDettaglio','')"
