"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"21 Invest","Treviso","+39 0422 316611","info@21invest.com","mailto:info@21invest.com","http://www.21invest.com","http://www.21invest.com/","Alessandro Benetton","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')"
"Ambienta SGR","Milano","+39 02 7217 461","info@ambientasgr.com","mailto:info@ambientasgr.com","http://www.ambientasgr.com","http://www.ambientasgr.com/","Adele Bertolino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')"
"Arca Space Capital","Milano","+39 3357529925","lorenzo.giavenni@arcafondi.it","mailto:lorenzo.giavenni@arcafondi.it","http://www.arcafondi.it","http://www.arcafondi.it/","Lorenzo Giavenni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')"
"Aurora Growth Capital","Luxembourg","+39 / 02 814 80 801","IR_Auroragrowthcapital@rpalt.com","mailto:IR_Auroragrowthcapital@rpalt.com","http://www.auroragrowthcapital.it","http://www.auroragrowthcapital.it/","Patrizia Micucci, Piero Migliorini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')"
"Banca Sella Holding","Biella","+39 / 015 35011","bsh_segreteria@pec.sella.it; giacomo.sella@sella.it","mailto:bsh_segreteria@pec.sella.it; giacomo.sella@sella.it","https://sellagroup.eu/","https://sellagroup.eu/","Giacomo Sella","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')"
"CAPZA","Milano","+390283966710","szavattaro@capza.co","mailto:szavattaro@capza.co","http://www.capza.co","http://www.capza.co/","Stefano Zavattaro","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl05$lnkDettaglio','')"
"Doorway","Bologna","-","team@doorwayplatform.com","mailto:team@doorwayplatform.com","https://www.doorwayplatform.com/it","https://www.doorwayplatform.com/it","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')"
"Eiffel Investment Group","Paris","+33 (0)1 39 54 35 67","contact@eiffel-ig.com","mailto:contact@eiffel-ig.com","https://www.eiffel-ig.com/","https://www.eiffel-ig.com/","Lorenzo Marzo Magno","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')"
"EOS Investment Management Group","London","+44 (0) 20 3709 7759","c.mongillo@eosimgroup.com","mailto:c.mongillo@eosimgroup.com","https://eosimgroup.com/","https://eosimgroup.com/","Ciro Mongillo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')"
"Equiter - Investimenti per il Territorio","Torino","+39 011 5557903","segreteria@equiterspa.com","mailto:segreteria@equiterspa.com","http://www.equiterspa.com","http://www.equiterspa.com/","Igor Calcio Gaudino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')"
"Equiter SGR","Torino","+39 02 30322459","info@equitersgr.it","mailto:info@equitersgr.it","-","","Enrico Loewenthal","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')"
"Green Arrow Capital SGR","Roma","(+39) 06 94354415 -  (+39) 342 624 08 55","investorrelation.sgr@greenarrow-capital.com","mailto:investorrelation.sgr@greenarrow-capital.com","https://www.greenarrow-capital.com/","https://www.greenarrow-capital.com/","Claudio Ansuinelli - Managing Director - Head of Sales","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl11$lnkDettaglio','')"
"LIFTT","Torino","+39 3497796983","alice.mariotti@liftt.com","mailto:alice.mariotti@liftt.com","https://www.liftt.com/","https://www.liftt.com/","Alice Mariotti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl12$lnkDettaglio','')"
"Mediocredito Centrale","Roma","+39 3351043263; +39 3346261560","alessandra.festini@mcc.it; maria.monna@mcc.it","mailto:alessandra.festini@mcc.it; maria.monna@mcc.it","https://mcc.it","https://mcc.it/","Alessandra Festini; Maria Monna","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl13$lnkDettaglio','')"
"MITO Technology","Milano","-","info@mitotech.eu","mailto:info@mitotech.eu","http://www.mitotech.eu","http://www.mitotech.eu/","Francesco De Michelis","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl14$lnkDettaglio','')"
"Oltre Impact SGR","Milano","+39 02.45496412","info@oltreimpact.com; maddalena.deliso@oltreimpact.com","mailto:info@oltreimpact.com; maddalena.deliso@oltreimpact.com","http://www.oltreimpact.com","http://www.oltreimpact.com/","Maddalena De Liso","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl15$lnkDettaglio','')"
"Permira Associati","Milano","+39 / 02 76004740","giorgio.dinaro@permira.com","mailto:giorgio.dinaro@permira.com","http://www.permira.com","http://www.permira.com/","Giorgio Dinaro","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl16$lnkDettaglio','')"
"Renaissance Partners","Milano","+39 / 02 76415811","info@rpalt.com","mailto:info@rpalt.com","https://www.renaissancealternatives.com","https://www.renaissancealternatives.com/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl17$lnkDettaglio','')"
"Ring Capital","Paris","-","sara.debenedetti@ringcp.com","mailto:sara.debenedetti@ringcp.com","https://www.ringcp.com/","https://www.ringcp.com/","Sara De Benedetti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl18$lnkDettaglio','')"
"Sagard","Milano","-","alessia.frigerio@sagard.eu","mailto:alessia.frigerio@sagard.eu","https://www.sagard.com/midcap/","https://www.sagard.com/midcap/","Andrea Bertoncello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl19$lnkDettaglio','')"
"Scientifica Venture Capital","Roma","+39 06 58364 202","info@scientifica.vc","mailto:info@scientifica.vc","https://scientifica.vc/","https://scientifica.vc/","Simone Valorani","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl20$lnkDettaglio','')"
"Sefea Impact SGR","Padova","+39 / 349 7549881","info@sefeaimpact.it","mailto:info@sefeaimpact.it","http://www.sefeaimpact.it","http://www.sefeaimpact.it/","Sara D’Aulerio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl21$lnkDettaglio','')"
"Sinloc Investimenti SGR","Padova","+39/ 0498456911","info@sinlocinvestimentisgr.com","mailto:info@sinlocinvestimentisgr.com","http://www.sinlocinvestimentisgr.com","http://www.sinlocinvestimentisgr.com/","Enzo Pietropaoli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl22$lnkDettaglio','')"
"Siryo","Bari","0803848614","info@siryo.it","mailto:info@siryo.it","http://www.siryo.it/it/","http://www.siryo.it/it/","Ercole Festa","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl23$lnkDettaglio','')"
